date,location,CO_openweather,NO2_openweather,SO2_openweather,PM2_5_openweather
2020-11-24,Agartala,817.3000000000001,10.467142857142855,4.8100000000000005,76.44285714285714
2020-11-25,Agartala,1083.9708333333333,23.741249999999997,3.515416666666667,90.69541666666667
2020-11-26,Agartala,1151.5625,24.5025,3.6575,96.86124999999998
2020-11-27,Agartala,903.44875,23.724166666666672,2.9850000000000008,75.84791666666668
2020-11-28,Agartala,981.6104166666664,20.355833333333333,2.19875,102.71666666666668
2020-11-29,Agartala,1004.4187500000002,23.07333333333333,3.675,101.96708333333332
2020-11-30,Agartala,1128.4758333333332,32.165416666666665,3.9154166666666663,120.82416666666664
2020-12-01,Agartala,1085.2229166666666,21.33875,5.169583333333334,134.96791666666667
2020-12-02,Agartala,1083.1358333333333,24.36083333333333,5.767916666666667,135.96916666666664
2020-12-03,Agartala,1145.9991666666667,33.33500000000001,9.333749999999998,140.03875
2020-12-04,Agartala,997.18625,33.03458333333333,7.085833333333333,130.94916666666668
2020-12-05,Agartala,844.7574999999998,18.0525,6.102083333333333,155.09333333333333
2020-12-06,Agartala,1007.1983333333332,22.85,8.393750000000002,210.2004166666666
2020-12-07,Agartala,1008.3125,17.132500000000004,6.5304166666666665,195.13583333333332
2020-12-08,Agartala,1251.6966666666665,26.87166666666667,5.097083333333333,208.83
2020-12-09,Agartala,1215.8158333333336,28.51166666666666,3.625,176.91333333333333
2020-12-10,Agartala,1227.77625,25.883749999999992,3.6,145.0079166666667
2020-12-11,Agartala,1092.5929166666667,23.53333333333333,2.192916666666666,117.22041666666668
2020-12-12,Agartala,967.4241666666668,17.172083333333337,1.836666666666667,114.21833333333332
2020-12-13,Agartala,1133.4816666666668,21.20083333333333,3.051666666666667,173.50250000000003
2020-12-14,Agartala,1204.9675,25.22791666666667,4.070833333333333,233.46875
2020-12-15,Agartala,989.1195833333333,22.48875,2.7950000000000004,153.96916666666667
2020-12-16,Agartala,992.4575,22.17208333333333,2.7491666666666674,112.59458333333332
2020-12-17,Agartala,1184.1054166666663,27.804583333333337,4.1933333333333325,171.915
2020-12-18,Agartala,955.4629166666664,26.752916666666668,4.505416666666666,117.13375
2020-12-19,Agartala,735.7204166666666,15.093749999999991,2.643333333333333,124.46083333333335
2020-12-20,Agartala,1059.493333333333,23.940416666666675,2.504166666666667,131.98083333333332
2020-12-21,Agartala,1228.611666666667,30.649166666666662,5.255,161.7504166666667
2020-12-22,Agartala,1282.2954166666666,22.861249999999995,4.634999999999999,183.39458333333332
2020-12-23,Agartala,1169.6425000000002,25.19083333333333,3.09375,123.83791666666669
2020-12-24,Agartala,1052.2608333333333,23.877916666666668,2.9425000000000003,108.34833333333331
2020-12-25,Agartala,1002.1920833333336,29.142083333333336,3.014166666666666,112.21583333333332
2020-12-26,Agartala,908.1774999999998,20.68791666666667,2.084583333333333,133.43666666666664
2020-12-27,Agartala,1117.0700000000002,30.670833333333334,4.027500000000001,150.17
2020-12-28,Agartala,1266.99625,32.4775,4.263333333333333,142.04750000000004
2020-12-29,Agartala,1036.40625,25.60541666666667,2.471666666666667,104.55875000000002
2020-12-30,Agartala,1035.4329166666669,27.701250000000005,3.068333333333333,98.74458333333337
2020-12-31,Agartala,1093.70625,27.75208333333333,4.072916666666666,121.03375
2021-01-01,Agartala,1144.0529166666663,31.48541666666667,3.133333333333333,125.01625
2021-01-02,Agartala,1003.8620833333334,30.31750000000001,3.4225,113.56541666666664
2021-01-03,Agartala,896.6329166666668,20.64375,3.2266666666666666,106.25
2021-01-04,Agartala,1045.8629166666667,30.11208333333333,4.123333333333334,109.29166666666664
2021-01-05,Agartala,1123.4683333333337,29.025416666666683,3.8754166666666654,119.02375
2021-01-06,Agartala,1100.520416666667,35.13,4.710833333333333,118.54708333333332
2021-01-07,Agartala,1031.399583333333,31.01958333333333,8.042916666666665,156.34458333333336
2021-01-08,Agartala,1248.3595833333334,32.15416666666666,5.351666666666667,189.34416666666664
2021-01-09,Agartala,1091.48125,24.35125,6.644166666666666,195.4808333333333
2021-01-10,Agartala,1081.1895833333335,23.69833333333333,8.474166666666667,186.07708333333332
2021-01-11,Agartala,1050.3133333333335,24.74541666666667,8.586250000000001,180.57416666666663
2021-01-12,Agartala,949.34375,22.028333333333336,9.3325,121.67541666666664
2021-01-13,Agartala,792.4645833333334,19.265,4.731666666666666,101.14791666666666
2021-01-14,Agartala,929.8729166666666,21.661666666666665,6.157916666666666,129.24416666666664
2021-01-15,Agartala,1135.1504166666666,33.501666666666665,10.745833333333332,166.55708333333334
2021-01-16,Agartala,974.0991666666664,28.38,6.19625,137.2291666666667
2021-01-17,Agartala,995.7966666666669,27.832083333333333,3.84375,146.65124999999998
2021-01-18,Agartala,964.6420833333332,16.91125,5.169166666666668,160.10083333333336
2021-01-19,Agartala,768.8208333333333,14.300416666666669,3.784583333333333,118.63833333333332
2021-01-20,Agartala,614.1658333333332,6.121666666666667,4.680833333333333,132.42083333333335
2021-01-21,Agartala,996.9075,26.786666666666665,8.496666666666668,149.01874999999998
2021-01-22,Agartala,1097.3229166666667,27.429166666666674,3.9466666666666663,148.9416666666667
2021-01-23,Agartala,1127.3625,22.15625,8.711250000000001,226.6570833333333
2021-01-24,Agartala,896.2158333333333,20.834166666666672,3.2341666666666664,137.38375
2021-01-25,Agartala,951.5679166666667,21.60625,4.550416666666666,116.23708333333336
2021-01-26,Agartala,1142.726470588235,32.68529411764706,4.584117647058824,145.79999999999998
2021-01-27,Agartala,979.4257142857144,14.578571428571427,3.334285714285715,161.45857142857145
