"","month","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1","2020-11",1647.18448129252,38.0009013605442,18.6998984593838,171.547318427371,6.01235294117647
"2","2020-12",1714.34322343454,37.4518659076534,19.235289373814,197.067433586338,10.2288235294118
"3","2021-01",1548.44658727058,31.4773178275105,17.4196491623215,197.310736463466,7.49294117647059
"4","2021-02",1705.06378326331,33.0490134803922,20.8607921918768,226.663059348739,6.43588235294118
"5","2021-03",1017.95068139317,21.0469841253472,16.7867632277315,98.8517841968484,6.19705882352941
"6","2021-04",900.071460784314,19.6153047385621,17.7613129084967,70.0102450980392,7.81
"7","2021-05",978.089080487034,19.7908167299178,16.9886416824794,79.0248782416192,10.8041176470588
"8","2021-06",904.423905228758,17.8251339869281,17.0088464052288,76.772862745098,6.75647058823529
"9","2021-07",761.857536369386,15.9611946552815,14.1557613851992,53.2464618912081,6.70705882352941
"10","2021-08",852.68141998735,17.0775260910816,14.537075426945,62.910979601518,7.54529411764706
"11","2021-09",894.87172875817,18.3995285947712,14.1463357843137,63.323375,7.95
"12","2021-10",1315.47177814674,25.8341579696395,16.6770121758381,118.182204301075,8.15588235294118
"13","2021-11",1985.58841754902,40.181390751634,22.9347818954248,219.926407222222,6.99058823529412
"14","2021-12",1826.08406309298,38.621703826692,20.4772319734345,194.644482131562,7.11764705882353
"15","2022-01",1606.35984252999,31.0259167490526,16.7537875055145,173.096008576106,6.80529411764706
"16","2022-02",1446.41622551962,29.053398911035,18.5431934023609,154.262277087306,6.51764705882353
"17","2022-03",1261.2364242843,25.518794344526,18.4598550724638,134.483080466408,7.22823529411765
"18","2022-04",1016.12718464052,21.1350637254902,18.8659150326797,84.3669779411765,6.92529411764706
"19","2022-05",893.681601834282,16.744807084124,16.8845074320051,83.0527261227071,7.16058823529412
"20","2022-06",815.803085784314,17.5735571895425,16.0766274509804,65.2682573529412,6.97764705882353
"21","2022-07",767.445066721133,15.6521718409586,14.2142878540305,44.9687026824619,7.109375
