"","month","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1","2020-11",896.20919933763,19.4683149838883,16.5605196025779,98.290668188328,4.3621052631579
"2","2020-12",1125.12599745331,25.3111735993209,19.1888773344652,135.481587436333,5.15052631578947
"3","2021-01",1117.16833858246,25.1868582628297,21.8782026282499,128.220010950051,5.22736842105263
"4","2021-02",1165.85620848997,27.5876683897243,25.816212406015,120.852276785714,4.48684210526316
"5","2021-03",901.850194907852,22.1633417300263,25.2928791122266,83.3700671427868,3.97315789473684
"6","2021-04",766.245545321637,20.0484722222222,25.5398245614035,61.012793128655,4.73842105263158
"7","2021-05",581.970234861347,14.7507788624788,20.412051499717,37.5212634408602,12.0942105263158
"8","2021-06",495.469001461988,15.8336929824561,22.269783625731,26.2081206140351,9.55578947368421
"9","2021-07",466.774448217318,14.5432930107527,19.7996271929825,22.7535858800226,5.27
"10","2021-08",506.0827221279,16.3819814657612,22.3526931239389,26.9510123089983,5.39263157894737
"11","2021-09",577.629888157895,17.2168888888889,23.3655928362573,32.4547149122807,5.70526315789474
"12","2021-10",986.680596349745,22.1967947085456,22.2753480475382,83.2400077815506,4.20736842105263
"13","2021-11",1102.70755020468,22.2656083040936,18.1249565789474,108.494986783626,4.91789473684211
"14","2021-12",1170.83014784946,26.0281607243916,20.3071830786644,126.088485427278,4.75157894736842
"15","2022-01",1053.06072547355,24.043711258697,20.1462351383677,103.233780490125,4.96894736842105
"16","2022-02",1035.64766292701,25.3246745211242,25.1452131642131,104.033267853194,4.62157894736842
"17","2022-03",866.587450327256,20.8998088752737,22.9876922627396,85.4388119140769,4.65789473684211
"18","2022-04",640.527735380117,16.9017441520468,23.9818742690058,46.0266805555556,4.46947368421053
"19","2022-05",550.803523627617,15.0562330220713,20.9647262308998,44.7974016694963,4.92421052631579
"20","2022-06",478.033915935672,15.8489152046784,21.7420796783626,25.9277185672515,4.06894736842105
"21","2022-07",431.632481725146,13.4933351608187,18.7981712962963,17.7946820175439,4.36315789473684
