"","Date","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1",2018-01-01,1562.72710736388,30.2988826763682,21.436512392033,175.720464688305,5.86196078431373
"2",2018-04-01,1225.39047894983,23.3109700934153,19.2855474827607,124.994767095268,6.12980392156863
"3",2018-07-01,1079.37503782301,20.0080144903097,16.796777380076,93.3877713322434,7.1021568627451
"4",2018-10-01,1797.6305410269,34.468809831055,22.0065259215393,197.575402537513,8.04509803921569
"5",2019-01-01,1316.0831944387,26.6272515311346,19.6472060180478,138.860625164679,9.41901960784314
"6",2019-04-01,924.859374975519,18.3501640147418,18.0560634169749,84.2435582315572,9.87411764705882
"7",2019-07-01,1086.53933323361,19.4707746326092,18.0744901018631,87.6472815527909,10.0617647058824
"8",2019-10-01,1693.09558885182,32.151254926294,20.3068719159387,188.220083968994,9.38960784313726
"9",2020-01-01,1292.37549350007,24.4380444202015,17.0820546664912,140.660708593534,10.2360784313725
"10",2020-04-01,817.052289004074,15.045181262831,15.1076790360343,63.10604542687,17.4800367647059
"11",2020-07-01,766.4056192803,14.2568829735667,14.197398425177,56.6354224776412,8.61039215686274
"12",2020-10-01,1656.27231757665,32.0726855175168,19.3049215810063,195.096827612508,7.8043137254902
"13",2021-01-01,1399.96861797166,25.9893179731331,18.157195457782,177.373642812529,6.70862745098039
"14",2021-04-01,897.596831443304,17.2049999813042,17.3845422547661,74.2779411404613,8.45686274509804
"15",2021-07-01,800.554690074232,15.4835336114649,14.3536098977298,58.6090222145369,7.40078431372549
"16",2021-10-01,1701.14963785853,32.3507785483736,19.9227673390506,181.910112942302,7.42137254901961
"17",2022-01-01,1398.66518384923,25.4616483017222,17.4250372532755,153.893260988496,6.85039215686275
"18",2022-04-01,879.595659685753,16.742871303739,17.4421922882778,76.0498113246467,7.02117647058824
