"","Date","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1",2018-01-01,1180.20380221578,28.4138445877045,16.8836191192323,132.353384728315,7.07833333333333
"2",2018-04-01,943.945512554357,21.9921798673914,15.1001885359648,96.709108026221,7.44791666666667
"3",2018-07-01,707.913970229147,15.0432479607123,12.21112094897,53.8877142627811,8.01125
"4",2018-10-01,1322.24102162698,33.0234909086307,17.877167225047,136.239107975584,10.2991666666667
"5",2019-01-01,1081.35599677809,26.079736898798,16.9979614077009,102.79022443052,8.8075
"6",2019-04-01,867.275629981396,21.0660652687415,15.2186327885337,78.3093328080338,9.98041666666667
"7",2019-07-01,619.254641456696,13.9608472809841,12.027596343569,44.7874408962369,9.88208333333333
"8",2019-10-01,935.652082790145,22.2689310243182,15.5270827551651,96.0478966945838,11.1495833333333
"9",2020-01-01,851.485294807318,20.3297777607119,14.9511255291433,79.2344979406681,10.89
"10",2020-04-01,507.878351480252,10.5008920707912,10.4393227298901,34.8632848329396,17.4604166666667
"11",2020-07-01,545.230932576203,11.5725059523681,10.5875752891305,36.3467755404145,11.4579166666667
"12",2020-10-01,1087.77255645527,27.1338115662389,16.5916990377842,121.845374538864,14.78875
"13",2021-01-01,940.293877274549,21.3336355159122,15.0558135798154,108.775248681416,12.6895833333333
"14",2021-04-01,544.368732871304,11.4724713447888,12.7291722110932,48.2058556785383,16.3325
"15",2021-07-01,474.195106053074,9.97727109473898,9.59473659642881,29.104178371258,13.7391666666667
"16",2021-10-01,1161.63523581753,26.5548339843756,15.4164717441909,118.413051928564,15.3970833333333
"17",2022-01-01,925.459411222163,21.1179542000208,14.4927889013443,91.7019713202343,14.535
"18",2022-04-01,507.56952124112,11.5996040547332,12.3519524715183,46.9797313321236,15.4783333333333
