"","Date","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1",2018-01-01,1232.48239220242,30.7075874633354,28.2009502880658,118.959227355928,5.18157894736842
"2",2018-04-01,886.078629275104,21.2581028777171,22.6047519789192,75.1774809537189,4.26877192982456
"3",2018-07-01,924.764215257584,21.828673968059,23.1298121399116,70.2716855135545,5.10438596491228
"4",2018-10-01,1209.14020223847,28.4340377329599,24.3117721626718,128.749716871017,5.18245614035088
"5",2019-01-01,1167.02447953882,28.3180473441908,25.2876989162077,121.373793746415,5.19210526315789
"6",2019-04-01,794.040650769948,20.1359819617768,22.9594243383203,68.138556482164,5.64140350877193
"7",2019-07-01,571.469512882374,17.1156417251272,22.9342811926548,34.7619277240432,5.65491228070175
"8",2019-10-01,1021.80864283225,23.2162583361734,21.2959813635604,106.756165519897,5.76438596491228
"9",2020-01-01,1028.88624533207,25.1772379466191,24.5713386301297,100.179422212646,6.23052631578947
"10",2020-04-01,522.810196294616,16.0265564570652,22.7165770324381,31.1009275674515,19.3242105263158
"11",2020-07-01,471.605986599908,14.8178062222191,21.1757235969746,23.3853003866078,6.35859649122807
"12",2020-10-01,995.12233711871,23.225303242271,20.5883550778908,104.671098152959,4.77280701754386
"13",2021-01-01,1045.24819680667,25.0542055667835,24.6185387744355,107.062193032771,4.56245614035088
"14",2021-04-01,595.277035583853,16.9188036141211,22.9859864263872,39.1277492782255,8.79614035087719
"15",2021-07-01,510.029221981675,16.2039421961117,22.4024632116061,26.2480699420371,5.4559649122807
"16",2021-10-01,1060.88643186441,23.3305211776656,20.2069451913463,100.823201046508,4.62561403508772
"17",2022-01-01,968.708283196147,23.5676699746714,23.0606939099887,94.1950354127518,4.74947368421053
"18",2022-04-01,540.866958737109,16.0727732477211,22.4584477550571,36.1203150801734,4.48754385964912
