"","month","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1","2020-11",1039.51206802721,20.4354761904762,14.3531853741497,141.787365646259,4.668
"2","2020-12",1149.81166129032,23.5242258064516,14.1984811827957,155.450567204301,8.374
"3","2021-01",994.112206447095,17.6817920619861,11.7035617827776,157.23461048613,5.646
"4","2021-02",1035.887375,19.7698898809524,13.5296696428571,134.936720238095,2.852
"5","2021-03",740.537711898083,13.6100399719495,12.6937496493689,76.0258342683497,2.556
"6","2021-04",689.635936111111,11.7883361111111,13.7370361111111,62.1331888888889,3.33
"7","2021-05",625.718443548387,8.20996505376344,8.68322043010753,60.6595940860215,5.852
"8","2021-06",555.127638888889,7.58513888888889,6.95084722222222,37.5122222222222,3.132
"9","2021-07",470.891432795699,7.46087634408602,6.20259139784946,29.537752688172,3.36
"10","2021-08",510.272470430108,8.37908870967742,6.23581182795699,30.2648978494624,4.886
"11","2021-09",612.679241666667,8.71420833333333,6.36698333333333,40.8277083333333,3.846
"12","2021-10",969.272903225806,16.3690913978495,11.2978010752688,98.3060134408602,2.78
"13","2021-11",1258.16308833333,22.0002926666667,14.9222838888889,178.476493888889,2.868
"14","2021-12",1083.37593548387,20.6626290322581,12.6995887096774,149.357532258065,3.966
"15","2022-01",1011.64849392338,17.6571757025391,10.2889751287612,128.193254789012,2.958
"16","2022-02",928.756836134454,16.4178029711885,12.2355841086435,108.513103941577,2.776
"17","2022-03",832.5858528518,14.7023224637681,13.5116216690042,92.7334531323048,2.698
"18","2022-04",741.996061111111,13.6981194444444,14.7151638888889,69.6187638888889,2.142
"19","2022-05",594.311822580645,7.41052419354839,9.83679301075269,73.0854838709677,2.242
"20","2022-06",540.927052777778,9.05681111111111,9.55895555555556,45.9384333333333,1.394
"21","2022-07",506.888337962963,6.84145601851852,6.08190162037037,30.29875,2.51
