"","month","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1","2020-11",318.764681122449,6.70892857142857,1.29513180272109,15.8910756802721,4.175
"2","2020-12",391.428608870968,6.18429435483871,1.23734543010753,29.0140927419355,4.865
"3","2021-01",417.132951059456,6.37553023628806,1.31970006551008,33.0639344447456,3.26
"4","2021-02",436.044620535714,6.36357142857143,1.78720238095238,41.1884523809524,5.59
"5","2021-03",479.828251519402,3.91349929873773,2.15722154043946,45.8429455937354,4.12
"6","2021-04",454.448201388889,4.91915277777778,1.90105555555556,35.3045069444444,4.885
"7","2021-05",420.591323924731,3.61690860215054,0.928245967741935,12.5405981182796,8.015
"8","2021-06",367.232465277778,2.73235416666667,0.603965277777778,9.05447222222222,4.585
"9","2021-07",339.481081989247,3.10797043010753,0.515840053763441,6.59051075268817,3.48
"10","2021-08",355.188918010753,3.02264784946237,0.508004032258064,7.17432123655914,4.16
"11","2021-09",323.665340277778,3.41976388888889,0.552819444444444,7.849375,6.86
"12","2021-10",373.515846774194,5.17231182795699,0.845920698924731,14.7544018817204,8.86
"13","2021-11",401.161118888889,7.28917805555556,1.22190027777778,25.1803402777778,6.97
"14","2021-12",358.290584677419,7.2038373655914,1.10796370967742,16.7932795698925,7.91
"15","2022-01",384.124211902503,6.81187387051595,1.12040158805458,17.7023454865817,6.56
"16","2022-02",472.212596788715,6.39147333933573,1.8971468587435,29.8973817652061,8.11
"17","2022-03",473.686061243572,6.1156556802244,1.59286407199626,46.0835092332866,7.57
"18","2022-04",435.891986111111,4.62584722222222,1.21661805555556,21.6116944444444,8.25
"19","2022-05",406.091700268817,3.57539650537634,0.864569892473118,14.1131182795699,7.32
"20","2022-06",370.613805555556,3.58610416666667,0.689027777777778,7.89484722222222,10.245
"21","2022-07",330.485905671296,3.29831886574074,0.514586226851852,7.39531539351852,6.635
