"","month","CO","NO2","SO2","PM2_5","Unemployment_Rate"
"1","2020-11",682.661873582766,11.7921570294785,8.78016156462585,65.2621655328798,5.83
"2","2020-12",697.608911290323,14.2880197132616,10.2488664874552,66.7054480286738,6.45
"3","2021-01",709.058044034818,14.1645320547574,9.71166945272733,61.4805779946387,5.46
"4","2021-02",604.355357142857,9.74376984126984,8.79175099206349,70.8184077380952,4.3
"5","2021-03",487.342629149135,8.84105910082593,6.90962852579087,39.941286037089,5.9
"6","2021-04",445.031666666667,11.4506666666667,6.78668518518519,30.7926851851852,7.52
"7","2021-05",376.034641577061,8.39178315412186,4.53469534050179,12.5640636200717,23.52
"8","2021-06",279.407217592593,5.56577314814815,3.00576388888889,7.43881481481481,15.77
"9","2021-07",243.660519713262,3.63094086021505,2.03181003584229,5.96516129032258,7.52
"10","2021-08",245.381066308244,4.51402777777778,2.5784229390681,6.01781810035842,7.81
"11","2021-09",253.684587962963,4.47557407407407,2.53848148148148,6.67108796296296,8.95
"12","2021-10",488.0391890681,11.3153270609319,6.09681451612903,22.2059453405018,5.39
"13","2021-11",652.680446851852,14.1312414814815,7.74085481481481,37.2967714814815,7.09
"14","2021-12",701.430649641577,12.5207078853047,9.6144623655914,75.7920071684588,6.69
"15","2022-01",528.321887217253,8.6446648444324,6.63612248125057,42.6889246558839,4.95
"16","2022-02",533.945413498733,9.43746740362812,8.07366659163666,54.0689836351207,4.95
"17","2022-03",510.296177925822,9.55675627240143,6.47394265232975,49.8352647265077,6.74
"18","2022-04",483.009083333333,11.9142962962963,7.0546712962963,23.2627962962963,5.84
"19","2022-05",347.368606630824,8.09633960573477,4.14793010752688,14.0465098566308,5.83
"20","2022-06",324.924481481482,7.66731944444444,3.92486574074074,6.99130092592593,5.32
"21","2022-07",253.026219135802,3.87052469135802,2.10911072530864,5.55556520061728,4.93
