,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Ghaziabad,28.678,77.412,2020-11-24,2197.264285714286,59.144285714285715,40.24,335.98857142857145
1,Ghaziabad,28.678,77.412,2020-11-25,1667.5387500000006,50.381249999999994,43.11958333333333,229.85583333333338
2,Ghaziabad,28.678,77.412,2020-11-26,1586.595833333333,57.86374999999999,54.449583333333344,98.0475
3,Ghaziabad,28.678,77.412,2020-11-27,1981.5774999999996,68.58874999999999,55.015416666666674,162.70250000000001
4,Ghaziabad,28.678,77.412,2020-11-28,3439.6645833333328,94.04958333333336,50.96333333333333,258.2620833333333
5,Ghaziabad,28.678,77.412,2020-11-29,6450.415000000001,115.55583333333334,94.10541666666666,485.7870833333334
6,Ghaziabad,28.678,77.412,2020-11-30,6781.9749999999985,116.46958333333333,78.21083333333334,529.1954166666668
7,Ghaziabad,28.678,77.412,2020-12-01,6039.301666666669,121.98125000000003,75.47999999999999,571.0133333333333
8,Ghaziabad,28.678,77.412,2020-12-02,3778.4583333333335,101.49083333333333,67.71124999999999,349.50708333333336
9,Ghaziabad,28.678,77.412,2020-12-03,4774.252916666665,113.15708333333333,92.11375,554.3695833333333
10,Ghaziabad,28.678,77.412,2020-12-04,2112.865416666666,59.534166666666636,61.95000000000001,388.21041666666673
11,Ghaziabad,28.678,77.412,2020-12-05,1480.340416666667,34.10083333333333,31.919166666666666,324.12583333333333
12,Ghaziabad,28.678,77.412,2020-12-06,3729.5029166666664,110.97250000000001,77.61541666666668,474.69666666666666
13,Ghaziabad,28.678,77.412,2020-12-07,6737.470416666668,104.01875,63.927083333333336,637.6204166666666
14,Ghaziabad,28.678,77.412,2020-12-08,4573.980833333334,110.15791666666667,118.79291666666666,457.4283333333333
15,Ghaziabad,28.678,77.412,2020-12-09,4310.28875,99.67624999999998,83.12958333333334,385.58374999999995
16,Ghaziabad,28.678,77.412,2020-12-10,3501.4154166666663,76.11375000000001,64.99,227.45833333333334
17,Ghaziabad,28.678,77.412,2020-12-11,2065.8566666666666,59.87041666666665,46.68583333333333,160.69708333333335
18,Ghaziabad,28.678,77.412,2020-12-12,3176.8087499999997,58.120416666666664,59.39166666666666,271.2245833333333
19,Ghaziabad,28.678,77.412,2020-12-13,1624.1483333333333,54.522083333333335,45.030833333333334,113.28875000000001
20,Ghaziabad,28.678,77.412,2020-12-14,4389.842083333334,71.43041666666666,51.071666666666665,323.94374999999997
21,Ghaziabad,28.678,77.412,2020-12-15,2292.553333333333,73.92916666666666,60.80666666666667,181.5291666666667
22,Ghaziabad,28.678,77.412,2020-12-16,1601.6166666666666,55.365,54.43875,130.54833333333332
23,Ghaziabad,28.678,77.412,2020-12-17,1672.5458333333333,58.64875,56.16833333333333,133.57791666666665
24,Ghaziabad,28.678,77.412,2020-12-18,1927.05875,66.04666666666667,52.275,152.95291666666665
25,Ghaziabad,28.678,77.412,2020-12-19,1727.34375,55.15083333333333,45.35958333333334,158.0583333333333
26,Ghaziabad,28.678,77.412,2020-12-20,2237.4783333333335,68.67416666666665,45.36875,207.4366666666667
27,Ghaziabad,28.678,77.412,2020-12-21,9002.764583333335,98.71958333333338,81.26083333333332,742.4083333333336
28,Ghaziabad,28.678,77.412,2020-12-22,8116.562916666666,120.83916666666669,95.42916666666667,719.9770833333332
29,Ghaziabad,28.678,77.412,2020-12-23,6242.910416666667,111.72916666666669,83.87416666666665,607.5475
30,Ghaziabad,28.678,77.412,2020-12-24,3406.842916666668,81.14041666666667,52.245000000000005,311.9441666666666
31,Ghaziabad,28.678,77.412,2020-12-25,3410.736666666667,81.64041666666668,46.31333333333333,320.4658333333334
32,Ghaziabad,28.678,77.412,2020-12-26,3965.9345833333336,72.74416666666667,37.82875000000001,350.1812499999999
33,Ghaziabad,28.678,77.412,2020-12-27,1824.14125,47.26749999999999,31.670416666666668,259.73666666666674
34,Ghaziabad,28.678,77.412,2020-12-28,2087.8316666666674,63.37583333333333,49.263749999999995,161.42125000000001
35,Ghaziabad,28.678,77.412,2020-12-29,1742.362916666667,58.50583333333333,50.46458333333333,154.03458333333336
36,Ghaziabad,28.678,77.412,2020-12-30,3134.8079166666666,85.76708333333333,53.32624999999999,278.79625000000004
37,Ghaziabad,28.678,77.412,2020-12-31,8825.85958333333,112.55708333333331,85.37333333333332,707.7291666666666
38,Ghaziabad,28.678,77.412,2021-01-01,2027.193333333333,52.686666666666646,45.365,279.09666666666664
39,Ghaziabad,28.678,77.412,2021-01-02,1140.7141666666664,28.852499999999996,20.47458333333334,227.77833333333334
40,Ghaziabad,28.678,77.412,2021-01-03,800.8079166666666,21.006666666666664,15.309999999999997,63.814166666666665
41,Ghaziabad,28.678,77.412,2021-01-04,1422.4845833333336,36.67916666666666,21.742499999999996,82.57000000000001
42,Ghaziabad,28.678,77.412,2021-01-05,1125.4149999999997,26.683750000000003,26.89708333333333,148.99916666666664
43,Ghaziabad,28.678,77.412,2021-01-06,4477.462499999999,65.67458333333333,83.46625,324.52333333333337
44,Ghaziabad,28.678,77.412,2021-01-07,4155.079583333333,69.13041666666666,52.432916666666664,324.6125
45,Ghaziabad,28.678,77.412,2021-01-08,2797.1262500000007,56.15041666666665,50.46541666666666,257.16208333333327
46,Ghaziabad,28.678,77.412,2021-01-09,1227.7758333333336,37.65791666666668,42.0725,130.78166666666664
47,Ghaziabad,28.678,77.412,2021-01-10,1476.4475000000002,44.997083333333336,45.95541666666667,146.08916666666664
48,Ghaziabad,28.678,77.412,2021-01-11,1909.8125000000002,57.79291666666668,49.85041666666667,170.24291666666667
49,Ghaziabad,28.678,77.412,2021-01-12,2447.2075,75.15666666666668,52.59208333333333,235.92291666666665
50,Ghaziabad,28.678,77.412,2021-01-13,5168.677083333334,75.24291666666667,48.50875,467.03541666666655
51,Ghaziabad,28.678,77.412,2021-01-14,4907.7675,99.0479166666667,103.20458333333336,534.7354166666667
52,Ghaziabad,28.678,77.412,2021-01-15,4961.1725,127.63708333333334,157.73416666666668,678.9604166666667
53,Ghaziabad,28.678,77.412,2021-01-16,3379.3054166666675,60.93416666666667,36.919999999999995,352.4470833333333
54,Ghaziabad,28.678,77.412,2021-01-17,1047.5316666666665,21.399166666666662,30.040833333333325,289.12041666666664
55,Ghaziabad,28.678,77.412,2021-01-18,3247.7395833333326,47.65291666666667,43.78041666666667,372.58625
56,Ghaziabad,28.678,77.412,2021-01-19,2021.6299999999999,64.58916666666666,59.40541666666667,284.80749999999995
57,Ghaziabad,28.678,77.412,2021-01-20,1598.279166666667,46.811249999999994,54.895833333333336,272.3570833333334
58,Ghaziabad,28.678,77.412,2021-01-21,4418.214583333334,71.10166666666666,43.13458333333333,405.02666666666664
59,Ghaziabad,28.678,77.412,2021-01-22,1341.2637499999998,26.319166666666664,34.07,325.37458333333336
60,Ghaziabad,28.678,77.412,2021-01-23,1902.024583333333,33.794583333333335,26.351666666666663,329.08166666666665
61,Ghaziabad,28.678,77.412,2021-01-24,2318.700416666667,56.63583333333333,46.66041666666666,280.0995833333333
62,Ghaziabad,28.678,77.412,2021-01-25,4189.571666666667,79.79833333333333,60.71708333333334,321.1179166666667
63,Ghaziabad,28.678,77.412,2021-01-26,3303.3035294117644,75.80294117647058,48.428235294117655,279.6535294117647
64,Ghaziabad,28.678,77.412,2021-01-27,4398.345714285714,76.86857142857143,62.70285714285715,466.82
65,Ghaziabad,28.678,77.412,2021-01-28,4156.192916666668,95.90625,62.77416666666668,397.3225
