,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Faridabad,28.407,77.316,2020-11-24,1630.782857142857,37.60285714285714,16.18,283.95714285714286
1,Faridabad,28.407,77.316,2020-11-25,1521.78625,47.723749999999995,35.77375,235.67541666666668
2,Faridabad,28.407,77.316,2020-11-26,1685.8970833333335,80.05583333333333,81.30041666666666,114.33166666666666
3,Faridabad,28.407,77.316,2020-11-27,1776.2979166666673,71.97291666666666,42.08166666666667,142.93250000000003
4,Faridabad,28.407,77.316,2020-11-28,2626.34,87.84500000000001,31.131249999999998,194.23875
5,Faridabad,28.407,77.316,2020-11-29,5134.184999999999,130.58,61.19999999999999,359.2637500000001
6,Faridabad,28.407,77.316,2020-11-30,6215.095833333332,125.18041666666669,47.16749999999999,473.6141666666667
7,Faridabad,28.407,77.316,2020-12-01,6497.144583333332,138.46166666666667,50.310833333333356,594.0545833333333
8,Faridabad,28.407,77.316,2020-12-02,2477.24875,83.88333333333334,36.26458333333333,243.60500000000002
9,Faridabad,28.407,77.316,2020-12-03,4726.410000000001,138.97583333333333,71.84416666666667,544.5991666666666
10,Faridabad,28.407,77.316,2020-12-04,1923.1641666666662,48.5925,21.218333333333334,340.4329166666666
11,Faridabad,28.407,77.316,2020-12-05,1402.4579166666665,27.810833333333335,13.503333333333336,294.28499999999997
12,Faridabad,28.407,77.316,2020-12-06,3011.8624999999997,84.72416666666666,34.12375000000001,421.8220833333333
13,Faridabad,28.407,77.316,2020-12-07,5909.125416666669,120.55375,41.82416666666668,573.6412500000001
14,Faridabad,28.407,77.316,2020-12-08,5445.719166666667,193.9554166666667,171.18500000000003,539.7483333333332
15,Faridabad,28.407,77.316,2020-12-09,5414.009166666666,142.77416666666667,75.72791666666666,498.7420833333333
16,Faridabad,28.407,77.316,2020-12-10,3824.3533333333326,85.55375,43.56666666666666,246.5858333333333
17,Faridabad,28.407,77.316,2020-12-11,1193.2854166666664,33.837500000000006,14.429166666666665,125.38708333333335
18,Faridabad,28.407,77.316,2020-12-12,3629.645,71.78791666666667,52.38374999999999,283.0258333333334
19,Faridabad,28.407,77.316,2020-12-13,1656.4137499999997,66.06875000000001,43.75,115.59166666666665
20,Faridabad,28.407,77.316,2020-12-14,5560.318333333333,97.02083333333333,49.327499999999986,405.15958333333333
21,Faridabad,28.407,77.316,2020-12-15,2629.677916666667,104.84625,70.41375,205.33416666666662
22,Faridabad,28.407,77.316,2020-12-16,1707.3162499999999,71.11625000000001,53.99208333333332,136.3295833333333
23,Faridabad,28.407,77.316,2020-12-17,1468.1012500000004,58.33541666666665,42.934583333333336,114.51666666666667
24,Faridabad,28.407,77.316,2020-12-18,1553.7733333333333,61.80583333333334,35.942083333333336,118.86166666666668
25,Faridabad,28.407,77.316,2020-12-19,1435.2795833333332,50.252083333333324,31.311666666666667,127.83708333333334
26,Faridabad,28.407,77.316,2020-12-20,1930.9533333333331,65.97541666666667,34.20250000000001,187.11749999999998
27,Faridabad,28.407,77.316,2020-12-21,6270.72625,107.55958333333331,54.13124999999999,521.1320833333333
28,Faridabad,28.407,77.316,2020-12-22,9379.386666666667,160.14041666666665,96.03333333333332,840.23875
29,Faridabad,28.407,77.316,2020-12-23,7635.910833333332,123.61041666666665,55.383333333333326,727.7945833333334
30,Faridabad,28.407,77.316,2020-12-24,3763.99375,106.5025,45.22,319.1225
31,Faridabad,28.407,77.316,2020-12-25,3175.418749999999,92.165,32.416666666666664,285.5924999999999
32,Faridabad,28.407,77.316,2020-12-26,3794.0345833333345,79.16958333333334,26.7375,335.6083333333333
33,Faridabad,28.407,77.316,2020-12-27,1599.9487499999998,42.69541666666666,33.479166666666664,249.58666666666673
34,Faridabad,28.407,77.316,2020-12-28,2264.4604166666663,85.55291666666666,59.3375,175.97250000000005
35,Faridabad,28.407,77.316,2020-12-29,1856.1291666666666,74.08583333333334,46.283750000000005,160.24583333333334
36,Faridabad,28.407,77.316,2020-12-30,3451.904583333333,107.07291666666667,45.090833333333336,290.32625
37,Faridabad,28.407,77.316,2020-12-31,5642.652083333333,116.12833333333334,44.95166666666666,451.0062500000001
38,Faridabad,28.407,77.316,2021-01-01,1897.0166666666664,49.18125,20.256249999999998,269.2195833333333
39,Faridabad,28.407,77.316,2021-01-02,978.2720833333334,22.5275,11.675000000000002,223.91416666666672
40,Faridabad,28.407,77.316,2021-01-03,746.2895833333332,16.666249999999998,6.5495833333333335,63.15749999999999
41,Faridabad,28.407,77.316,2021-01-04,1151.2845833333333,29.353749999999994,8.7175,67.84333333333335
42,Faridabad,28.407,77.316,2021-01-05,1004.4179166666668,19.707083333333333,9.54833333333333,126.67708333333336
43,Faridabad,28.407,77.316,2021-01-06,3407.398333333334,61.97999999999999,48.01291666666666,247.10500000000002
44,Faridabad,28.407,77.316,2021-01-07,3289.46125,69.87416666666665,34.29875000000001,266.41749999999996
45,Faridabad,28.407,77.316,2021-01-08,2940.6545833333334,83.81041666666665,70.46333333333332,266.40041666666656
46,Faridabad,28.407,77.316,2021-01-09,1264.4929166666666,46.125416666666666,43.09375,129.77874999999997
47,Faridabad,28.407,77.316,2021-01-10,1354.0587500000001,44.526666666666664,35.43500000000001,139.53291666666664
