,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Kochi,9.915,76.276,2020-11-24,588.8928571428571,12.425714285714287,5.858571428571429,68.66571428571429
1,Kochi,9.915,76.276,2020-11-25,404.02125,4.737500000000002,2.6108333333333333,30.391250000000003
2,Kochi,9.915,76.276,2020-11-26,550.4695833333333,11.574166666666665,8.589166666666666,53.384583333333325
3,Kochi,9.915,76.276,2020-11-27,599.9804166666668,9.450833333333334,9.383750000000001,92.19333333333333
4,Kochi,9.915,76.276,2020-11-28,634.4708333333334,8.871666666666664,10.268333333333333,86.73333333333335
5,Kochi,9.915,76.276,2020-11-29,639.20125,11.112500000000002,8.177083333333334,63.70541666666666
6,Kochi,9.915,76.276,2020-11-30,695.1108333333335,14.297916666666666,11.444583333333334,69.36500000000001
7,Kochi,9.915,76.276,2020-12-01,675.6395833333332,17.927916666666665,7.972083333333334,56.41958333333333
8,Kochi,9.915,76.276,2020-12-02,564.9320833333335,14.308749999999998,9.686250000000001,52.50833333333333
9,Kochi,9.915,76.276,2020-12-03,546.2975,9.935833333333333,5.461666666666666,32.99708333333333
10,Kochi,9.915,76.276,2020-12-04,590.5233333333334,11.132083333333334,4.452083333333333,16.698333333333334
11,Kochi,9.915,76.276,2020-12-05,739.3358333333334,17.566666666666666,11.465000000000002,35.180416666666666
12,Kochi,9.915,76.276,2020-12-06,598.5908333333333,12.427916666666668,8.350416666666666,18.23833333333333
13,Kochi,9.915,76.276,2020-12-07,722.3687500000001,18.761666666666667,11.794583333333334,23.522499999999997
14,Kochi,9.915,76.276,2020-12-08,837.5258333333333,18.69708333333333,14.027500000000002,59.27333333333333
15,Kochi,9.915,76.276,2020-12-09,816.1074999999997,15.848333333333331,14.892499999999998,76.5458333333333
16,Kochi,9.915,76.276,2020-12-10,632.8029166666666,12.419166666666667,12.440000000000003,62.89666666666668
17,Kochi,9.915,76.276,2020-12-11,536.00625,9.95125,8.531249999999998,74.83375000000001
18,Kochi,9.915,76.276,2020-12-12,486.4933333333335,8.717083333333335,6.701250000000001,55.184999999999995
19,Kochi,9.915,76.276,2020-12-13,495.3937500000001,8.917916666666667,8.520000000000001,49.9625
20,Kochi,9.915,76.276,2020-12-14,651.71875,13.342500000000003,11.201666666666666,90.2475
21,Kochi,9.915,76.276,2020-12-15,636.6979166666666,12.074166666666668,10.255833333333333,90.7304166666667
22,Kochi,9.915,76.276,2020-12-16,685.375,18.233333333333334,12.902916666666668,61.06333333333334
23,Kochi,9.915,76.276,2020-12-17,699.84,18.208333333333332,11.944583333333336,40.63333333333333
24,Kochi,9.915,76.276,2020-12-18,737.9458333333333,23.494583333333335,12.152083333333332,47.24333333333332
25,Kochi,9.915,76.276,2020-12-19,554.9187500000002,15.775833333333333,7.408333333333335,27.88291666666667
26,Kochi,9.915,76.276,2020-12-20,624.4583333333334,12.83,6.824583333333332,42.878750000000004
27,Kochi,9.915,76.276,2020-12-21,644.7633333333333,16.651249999999997,10.877916666666666,81.01291666666667
28,Kochi,9.915,76.276,2020-12-22,519.8725,15.40208333333333,11.533749999999998,45.04666666666666
29,Kochi,9.915,76.276,2020-12-23,631.1341666666667,18.516249999999996,10.653749999999999,56.38166666666668
30,Kochi,9.915,76.276,2020-12-24,678.6983333333334,13.024166666666666,9.745833333333337,102.14
31,Kochi,9.915,76.276,2020-12-25,656.7254166666667,18.669166666666666,8.275416666666667,74.45083333333335
32,Kochi,9.915,76.276,2020-12-26,579.8145833333334,12.49875,6.954166666666667,65.13625000000003
33,Kochi,9.915,76.276,2020-12-27,659.2279166666668,13.091666666666663,8.909166666666666,102.72041666666667
34,Kochi,9.915,76.276,2020-12-28,779.6687499999999,17.896666666666665,9.526666666666666,124.91000000000001
35,Kochi,9.915,76.276,2020-12-29,769.3779166666667,16.77333333333333,11.531250000000002,124.35874999999997
36,Kochi,9.915,76.276,2020-12-30,590.5229166666667,9.18625,7.315416666666667,96.03124999999999
37,Kochi,9.915,76.276,2020-12-31,548.8008333333333,14.38666666666667,9.783333333333333,41.95416666666667
38,Kochi,9.915,76.276,2021-01-01,536.2841666666667,13.645416666666668,7.910833333333333,44.844166666666666
39,Kochi,9.915,76.276,2021-01-02,500.26375,9.89125,7.596249999999999,50.80291666666667
40,Kochi,9.915,76.276,2021-01-03,542.8208333333333,13.456249999999999,7.992916666666667,38.697500000000005
41,Kochi,9.915,76.276,2021-01-04,627.5179166666667,13.666249999999998,9.040416666666669,42.204166666666666
42,Kochi,9.915,76.276,2021-01-05,711.5212500000001,15.9675,11.737916666666663,48.58500000000001
43,Kochi,9.915,76.276,2021-01-06,682.8708333333333,14.007499999999999,8.578333333333331,34.67208333333333
44,Kochi,9.915,76.276,2021-01-07,737.6679166666668,11.981666666666667,9.800833333333333,51.84166666666667
45,Kochi,9.915,76.276,2021-01-08,751.2983333333333,15.005,8.191249999999998,40.186249999999994
46,Kochi,9.915,76.276,2021-01-09,677.58625,15.277499999999998,8.97875,38.47833333333334
47,Kochi,9.915,76.276,2021-01-10,646.1545833333333,18.389166666666668,9.973333333333331,33.38666666666666
48,Kochi,9.915,76.276,2021-01-11,590.8004166666666,17.390000000000004,8.243749999999999,33.28875000000001
49,Kochi,9.915,76.276,2021-01-12,489.6929166666667,12.86625,6.792083333333333,23.84958333333334
50,Kochi,9.915,76.276,2021-01-13,546.4358333333333,18.27583333333333,9.462916666666667,34.099583333333335
51,Kochi,9.915,76.276,2021-01-14,604.4316666666666,17.575833333333335,12.149999999999999,53.62916666666667
