,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Belgaum,15.869,74.511,2020-11-24,486.37428571428575,8.805714285714286,9.274285714285714,77.04142857142857
1,Belgaum,15.869,74.511,2020-11-25,479.1225,11.166250000000003,8.228333333333333,80.74708333333335
2,Belgaum,15.869,74.511,2020-11-26,430.8633333333333,7.517916666666668,3.346249999999999,33.935
3,Belgaum,15.869,74.511,2020-11-27,366.88708333333335,5.7558333333333325,3.793333333333333,35.70166666666666
4,Belgaum,15.869,74.511,2020-11-28,484.4087500000001,9.045833333333334,4.7683333333333335,26.345416666666665
5,Belgaum,15.869,74.511,2020-11-29,476.2016666666666,4.668333333333334,1.3375000000000001,27.021250000000006
6,Belgaum,15.869,74.511,2020-11-30,336.29041666666666,7.156249999999999,7.354166666666667,43.73624999999999
7,Belgaum,15.869,74.511,2020-12-01,383.7150000000001,9.029583333333333,7.035833333333334,59.287500000000016
8,Belgaum,15.869,74.511,2020-12-02,409.44458333333336,11.292499999999999,5.303750000000001,69.0225
9,Belgaum,15.869,74.511,2020-12-03,391.78208333333333,10.91375,3.908333333333333,59.29583333333333
10,Belgaum,15.869,74.511,2020-12-04,400.26624999999996,8.131666666666668,4.107916666666667,54.149166666666666
11,Belgaum,15.869,74.511,2020-12-05,366.7495833333332,8.838333333333333,4.082916666666667,40.23208333333333
12,Belgaum,15.869,74.511,2020-12-06,333.92541666666665,5.770833333333333,3.0187500000000003,37.79583333333333
13,Belgaum,15.869,74.511,2020-12-07,388.5833333333334,5.179999999999999,4.0025,18.764999999999997
14,Belgaum,15.869,74.511,2020-12-08,420.8500000000001,7.233333333333332,5.089583333333334,14.578333333333331
15,Belgaum,15.869,74.511,2020-12-09,397.76291666666674,7.677083333333331,5.029583333333334,18.832083333333326
16,Belgaum,15.869,74.511,2020-12-10,561.3166666666667,18.864166666666666,3.5075000000000003,37.21125000000001
17,Belgaum,15.869,74.511,2020-12-11,792.8812500000003,30.746249999999993,4.690416666666666,70.22874999999999
18,Belgaum,15.869,74.511,2020-12-12,611.94125,16.826250000000005,3.0412500000000002,67.59083333333332
19,Belgaum,15.869,74.511,2020-12-13,710.8266666666665,19.3375,3.1745833333333326,72.67375
20,Belgaum,15.869,74.511,2020-12-14,573.8337499999999,12.17666666666667,3.2641666666666667,70.35624999999999
21,Belgaum,15.869,74.511,2020-12-15,475.7854166666666,12.337499999999999,6.7804166666666665,65.18124999999999
22,Belgaum,15.869,74.511,2020-12-16,409.58375000000007,9.34625,6.471666666666665,38.00833333333333
23,Belgaum,15.869,74.511,2020-12-17,485.2425,16.275416666666665,3.3304166666666664,21.03708333333333
24,Belgaum,15.869,74.511,2020-12-18,491.77875,13.865833333333333,6.145416666666667,65.45291666666667
25,Belgaum,15.869,74.511,2020-12-19,462.5733333333333,6.767083333333335,7.162916666666665,87.91083333333334
26,Belgaum,15.869,74.511,2020-12-20,535.1704166666667,8.27125,5.6862499999999985,89.85208333333333
27,Belgaum,15.869,74.511,2020-12-21,523.4870833333334,10.670833333333334,5.3812500000000005,80.96041666666666
28,Belgaum,15.869,74.511,2020-12-22,522.0979166666666,14.609166666666669,9.808333333333334,92.47458333333334
29,Belgaum,15.869,74.511,2020-12-23,580.6491666666667,19.81916666666667,5.7799999999999985,70.91708333333334
30,Belgaum,15.869,74.511,2020-12-24,443.93666666666667,11.08875,7.420833333333333,61.92750000000001
31,Belgaum,15.869,74.511,2020-12-25,433.0891666666667,10.028333333333334,8.74375,73.63083333333334
32,Belgaum,15.869,74.511,2020-12-26,488.9979166666665,9.635,6.399583333333332,87.53874999999998
33,Belgaum,15.869,74.511,2020-12-27,656.725,16.216666666666665,5.667916666666667,114.54666666666664
