,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Ludhiana,30.91,75.855,2020-11-24,1718.5214285714287,42.25142857142857,15.90857142857143,227.56
1,Ludhiana,30.91,75.855,2020-11-25,917.355,24.956249999999994,11.995,115.60916666666667
2,Ludhiana,30.91,75.855,2020-11-26,735.44375,20.137500000000003,5.440833333333334,43.85874999999999
3,Ludhiana,30.91,75.855,2020-11-27,1239.4591666666663,18.507083333333338,6.757916666666667,116.22541666666666
4,Ludhiana,30.91,75.855,2020-11-28,2275.309583333334,45.602499999999985,6.998333333333335,224.02458333333337
5,Ludhiana,30.91,75.855,2020-11-29,2737.045833333333,74.11958333333332,21.75791666666667,306.4475
6,Ludhiana,30.91,75.855,2020-11-30,1902.02375,31.763749999999998,7.6954166666666675,255.58208333333334
7,Ludhiana,30.91,75.855,2020-12-01,2223.5716666666667,46.19416666666667,7.93,259.54833333333335
8,Ludhiana,30.91,75.855,2020-12-02,2691.98375,54.987916666666656,9.688333333333333,294.34291666666667
9,Ludhiana,30.91,75.855,2020-12-03,2604.6445833333332,60.319999999999986,21.19875,332.4179166666667
10,Ludhiana,30.91,75.855,2020-12-04,1336.5345833333333,27.647083333333327,17.729583333333334,233.47
11,Ludhiana,30.91,75.855,2020-12-05,1061.4400000000003,28.139166666666664,18.068750000000005,159.17375
12,Ludhiana,30.91,75.855,2020-12-06,1422.2070833333335,35.99416666666667,16.676250000000003,266.90083333333337
13,Ludhiana,30.91,75.855,2020-12-07,1591.325,37.35041666666668,7.335833333333333,232.82208333333332
14,Ludhiana,30.91,75.855,2020-12-08,2037.2066666666663,48.91,7.569166666666668,219.01250000000002
15,Ludhiana,30.91,75.855,2020-12-09,663.6787499999999,17.380000000000006,5.294999999999999,34.31208333333333
16,Ludhiana,30.91,75.855,2020-12-10,1285.9104166666664,33.74791666666666,5.406666666666667,92.85958333333333
17,Ludhiana,30.91,75.855,2020-12-11,1314.2820833333335,34.82958333333334,10.50625,108.99875000000002
18,Ludhiana,30.91,75.855,2020-12-12,1124.5816666666667,23.59041666666667,6.620833333333334,119.005
19,Ludhiana,30.91,75.855,2020-12-13,1298.7058333333332,30.636666666666667,4.682916666666666,115.52999999999999
20,Ludhiana,30.91,75.855,2020-12-14,1500.6458333333337,36.20499999999999,5.391249999999999,128.4079166666667
21,Ludhiana,30.91,75.855,2020-12-15,1216.6512500000001,21.629583333333333,5.908333333333332,120.80666666666667
22,Ludhiana,30.91,75.855,2020-12-16,1358.2304166666665,24.1775,6.363333333333333,137.47125
