,date,NO2_govt,SO2_govt,CO_govt,PM2.5_govt,CO_sat,NO2_sat,SO2_sat,index
0,2018-01-01,57.9375,8.5725,0.0,189.11250000000004,120.140612,10.998756700000001,-0.019426258,3
1,2018-01-02,57.163333333333334,7.634166666666666,0.0,138.8075,101.921614,12.245047866666667,0.21178298739999998,9
2,2018-01-03,64.32833333333333,8.37,0.0,138.4175,95.4023562,15.014655250000002,0.08394865,17
3,2018-01-04,57.94416666666667,8.869166666666667,0.0,143.23666666666665,113.2139,12.106499637976103,0.06753747612660538,26
4,2018-01-05,54.20416666666666,6.803333333333334,0.0,154.6325,100.18982195273819,12.039750300000001,-0.057953638249999995,30
5,2018-01-06,56.185,8.4075,0.0,137.275,114.494469,11.978718448546715,0.06632263099294139,38
6,2018-01-07,55.443333333333335,8.428333333333333,0.0,109.03083333333335,103.8241383662058,11.746211800000001,-0.1132586895,44
7,2018-01-08,55.11642857142857,7.495833333333334,0.0,97.9175,131.37469099999998,10.314855000000001,0.09960571475,51
8,2018-01-09,63.892500000000005,8.449166666666667,0.0,125.22000000000001,136.80121,12.476934576414731,0.07529772531027357,60
9,2018-01-10,66.56583333333333,9.591666666666667,0.0,106.17083333333333,130.2105375,9.893149066666668,0.025722619000000002,65
10,2018-01-11,64.01166666666667,7.873333333333334,0.0,95.48333333333333,134.92535800000002,11.8254256,0.2832820665,73
11,2018-01-12,57.62083333333334,10.1225,0.0,117.20333333333333,105.71501592783352,12.467072285714286,0.03214884742857143,83
12,2018-01-13,71.93333333333332,12.074166666666665,0.0,144.21166666666667,135.91488850000002,12.995642119862355,0.08254768941223718,88
13,2018-01-14,47.41,10.8925,0.0,117.77333333333333,105.3339426880821,11.325644050000001,0.04542991066666666,96
14,2018-01-15,45.620000000000005,11.749166666666667,0.0,131.81916666666666,119.151082,10.438869200000001,0.580562353,100
15,2018-01-16,45.949999999999996,11.339166666666666,0.0,106.18666666666667,111.758709,9.514908285714286,0.09471827825000001,108
16,2018-01-17,40.089999999999996,11.2525,0.0,136.9925,92.2591425,7.4522260000000005,-0.04988161750000001,115
17,2018-01-18,41.345,10.639166666666666,0.0,139.45083333333335,104.1044014,8.572424000000002,0.1244867855,121
18,2018-01-19,41.71666666666667,10.896666666666667,0.0,127.69749999999999,91.06588550000001,11.098102950000001,0.031195386999999998,129
19,2018-01-20,35.43142857142857,11.9925,0.0,108.67083333333333,127.73671200000001,10.758006528261006,-0.649772704,135
20,2018-01-21,40.695,10.9925,0.0,113.76083333333334,105.11716222315181,11.15475205,0.09116094825,142
21,2018-01-22,39.84428571428571,13.856666666666667,0.0,125.11416666666666,139.34914,11.269884242392145,0.07837705387750783,150
22,2018-01-23,41.365,8.461666666666666,0.0,101.99166666666667,102.0395316453279,8.983583133333335,-0.028958938749999996,156
23,2018-01-24,43.58583333333334,9.9625,0.0,112.99833333333333,108.557288,10.251311000000001,-0.022210890000000004,164
24,2018-01-25,43.734166666666674,10.268333333333333,0.0,102.48833333333334,105.821528,9.755796266666668,-0.35316506728571434,171
25,2018-01-26,46.807500000000005,12.526666666666666,0.0,124.74166666666667,125.495717,9.470036266666668,0.26347018650000004,178
26,2018-01-27,50.29750000000001,13.878333333333332,0.0,137.38583333333335,108.440872,17.438692000000003,0.11678617200000001,184
27,2018-01-28,48.92916666666667,15.790833333333333,0.0,126.22083333333335,111.9459162852933,15.21377075,0.19884056525,192
28,2018-01-29,47.25416666666666,14.910833333333334,0.0,138.5275,138.4760255,11.744417286046822,0.08241813033871986,202
29,2018-01-30,46.2075,12.165,0.0,99.6225,106.7968100736118,10.03597345,0.018800278285714282,206
30,2018-01-31,45.18166666666667,14.251666666666665,0.0,81.51666666666667,125.7285475,13.2502212,1.02477968,213
31,2018-02-01,43.47416666666667,18.2275,0.0,95.41583333333334,120.606273,10.851803142857145,0.08120089300000001,221
32,2018-02-02,40.80833333333333,12.475833333333334,0.0,93.83833333333332,121.071935,8.451211,0.006729581,226
33,2018-02-03,38.229166666666664,14.612499999999999,0.0,81.75916666666667,102.911144,9.948786100000001,-0.00043465339999999576,233
34,2018-02-04,39.778333333333336,13.648333333333333,1.1604925771203254,85.70833333333333,103.784259,9.43490455,-0.126460937,241
35,2018-02-05,42.72666666666667,12.956666666666665,1.0981236994090904,90.7725,143.074431,11.028215607967873,0.07140590702633312,247
36,2018-02-06,47.04,13.959166666666667,1.498060455512256,86.15833333333335,106.69279675469744,4.5544504,-0.128972754,255
37,2018-02-07,53.80416666666667,16.495833333333334,0.0,81.81583333333333,127.009116,11.208696014412777,0.06570746560681055,265
38,2018-02-08,59.8775,14.744166666666667,0.0,98.38499999999999,112.10721991398707,13.7490134,0.212437488,270
39,2018-02-09,60.1625,27.540000000000003,0.0,100.71916666666665,108.266249,9.494977600000002,0.189956456,275
40,2018-02-10,54.36666666666667,16.950833333333332,0.0,120.4525,112.398993,11.498942191069226,0.06763423940561678,282
41,2018-02-11,43.27166666666667,19.555,0.0,87.835,119.907781,8.311006866666668,0.2310839976,290
42,2018-02-12,37.274166666666666,11.175833333333332,0.0,88.6325,130.0941225,9.2039536,0.38516999799999996,296
43,2018-02-13,45.31166666666667,12.635833333333332,0.0,100.13583333333334,141.06626649999998,12.553573100000001,-0.007524110428571421,304
44,2018-02-14,42.350833333333334,11.964999999999998,0.0,59.9775,134.30447633333333,10.594189886552584,0.05999632887088063,311
45,2018-02-15,46.4,15.38,0.0,65.33833333333334,122.119673,10.5131574,0.13644078242857144,318
