,date,NO2_govt,SO2_govt,CO_govt,PM2.5_govt,CO_sat,NO2_sat,SO2_sat,index
0,2018-01-01,43.536666665,5.1125,2.144928986208897,190.29833335,147.76984866666666,9.16692534576115,0.10306639308274934,2
1,2018-01-02,48.325,6.7125,2.3758119326627076,245.35333335,129.449348985535,9.111426266666667,-0.243355021,13
2,2018-01-03,52.275,5.827500000000001,2.514967830180021,219.81833335,141.483421,7.017664000000001,-0.125640234,16
3,2018-01-04,59.155,7.02,3.0007865535883855,298.87333335,134.92788071418218,9.197003866666668,-0.11303679166666669,25
4,2018-01-05,55.405,5.3975,2.5969643766181383,249.745,141.07596733333332,11.5703566,0.008864170249999997,34
5,2018-01-06,78.018333335,8.317499999999999,2.5503019818437673,241.96999999999997,99.05003633333332,10.955079600000001,0.1972285955,37
6,2018-01-07,82.74,7.7175,3.1596601372426063,278.65666665,120.99432433333334,10.560110400000001,-0.12525566033333332,48
7,2018-01-08,74.361666665,7.715,3.0172855885957324,272.95166665,120.89003575000001,8.503244254379851,-0.07647939687101735,55
8,2018-01-09,59.718333335,6.2775,3.052193015215906,271.25333335,153.357784,9.553813930431403,0.12285607410939581,59
9,2018-01-10,71.226666665,8.7775,3.4082832773558263,275.19166665,149.41906575000002,6.313867200000001,0.12992449391537897,69
10,2018-01-11,66.23,8.7925,2.7741071049382944,255.185,121.6007500477718,8.04565928,-0.20229887375,72
11,2018-01-12,59.376666665,5.85,2.995735101231621,252.22166665000003,148.19670499999998,5.589070800000001,0.08724953733333334,81
12,2018-01-13,65.553333335,10.7125,3.166288614835463,295.88166665,135.823406908716,9.232611066666667,0.031163278500000002,87
13,2018-01-14,90.63499999999999,10.885,3.499700134421107,293.34749999999997,119.354809,8.486461,0.12974855783333333,95
14,2018-01-15,79.176666665,7.93,2.605543785268094,206.49,113.48553633333334,8.921136330671672,-0.03848024916106341,104
15,2018-01-16,67.371666665,9.212499999999999,2.524214036913536,210.84666665,121.886842,8.3100042,-0.09205239216666666,107
16,2018-01-17,62.15,6.05,2.4331858420973225,215.42666665000002,124.68080966666668,8.583094965141335,-0.03300690059662248,116
17,2018-01-18,66.453333335,10.005,2.720081096025244,238.83999999999997,123.43078571243854,7.861201200000001,-0.08338225199999999,125
18,2018-01-19,84.81,13.48,3.423631774448129,259.19,125.12706833333334,3.9659540000000004,0.128265044,128
19,2018-01-20,71.67833333499999,10.2325,1.9813690559124337,156.95,94.35687018317589,7.4931254,-0.5538974646666667,139
20,2018-01-21,73.471666665,8.1825,2.658728242975167,188.08333334999998,133.66419166666665,8.03582312,-0.051830804,146
21,2018-01-22,77.576666665,7.7425,2.756632750481713,249.76833335,103.88127206666667,7.813129600000001,-0.5149965285,149
22,2018-01-23,61.173333334999995,5.827500000000001,2.185218031925215,210.225,126.077794,14.639112560000001,0.21481385825,160
23,2018-01-24,42.504999999999995,6.125,1.5426979592198249,132.33999999999997,127.241947,8.555572839756273,0.0036025171741473905,163
24,2018-01-25,42.948333335,7.49,1.9655526608181524,176.69166665,133.994035,7.446525840000001,-0.4882435173333333,174
25,2018-01-26,50.843333335000004,9.120000000000001,2.1809462614198094,203.44666665,121.77042666666667,6.772192400000001,-0.08568341813786362,177
26,2018-01-27,47.655,7.12,2.0285977857614013,195.92833335,127.51372039123109,9.37882744,-0.16007738816666667,186
27,2018-01-28,60.338333335,7.9375,2.4373243523109602,214.64333335,124.31216133333334,7.7020028,-0.15988437566666666,191
28,2018-01-29,60.728333335,8.96,2.045875503104636,202.66166665,110.128894,12.381260133333335,-0.43927293175000004,200
29,2018-01-30,42.103333335,6.692500000000001,1.3763973630862902,119.80666665,119.9368855,8.4186306,0.0250424655,209
30,2018-01-31,39.74,6.7125,1.3423562920804413,118.15,121.537596,8.267450034464538,-0.035760819116613884,212
31,2018-02-01,46.251666665,6.904999999999999,1.4941664528201364,125.66166665,118.45258999999999,8.086256,0.13042410983333333,220
32,2018-02-02,63.181666665,11.899999999999999,2.13842254516591,143.49,133.644789,10.019227461096762,0.1395946832648911,229
33,2018-02-03,76.485,6.84,2.4845060177220306,177.6,123.19418102191108,8.786139266666668,0.17742845699999998,237
34,2018-02-04,43.540000000000006,6.49,1.5560046022503684,129.41833335,120.907013,6.0470858000000005,0.222349763,240
35,2018-02-05,48.993333335,7.455,1.6934320638011982,134.48833335,129.27208123277882,9.671829200000001,0.087810457,251
36,2018-02-06,39.21,7.5649999999999995,1.6387543561711682,116.78333334999999,145.9848135,8.223966000000003,0.1580978251371945,254
37,2018-02-07,43.378333335,8.8975,1.349369499074518,99.968333335,124.66017083627696,8.860240812123585,0.029928360799584164,263
38,2018-02-08,52.15166666499999,7.255,1.5933968801493172,100.02833335,130.69560133333334,8.826950933333334,0.06804984933333334,269
39,2018-02-09,51.753333335,9.2225,1.4960967497756679,92.206666665,127.591193,9.496378191061872,0.09778635562334759,278
40,2018-02-10,61.413333335000004,12.4375,1.6928988433982108,111.63499999999999,113.77657466666666,9.156883804542794,0.011037745428656764,286
41,2018-02-11,74.28333333500001,11.02,2.393343740366465,124.22999999999999,149.826519,11.551094199679348,0.33548804431615653,289
42,2018-02-12,36.633333335,7.9325,1.2781817602055998,100.72,123.37935424759482,6.175555600000001,-0.015617498823641052,300
43,2018-02-13,34.238333335,7.665000000000001,1.201299796193108,96.06833335,132.66981125,9.392884200000001,0.060148329224957386,303
44,2018-02-14,23.6533333335,5.5575,0.8310594281677375,55.34,138.6506485,7.86968,0.309863032,314
