,date,CO_openweather,NO2_openweather,SO2_openweather,PM2.5_openweather
0,2018-01-01,2103.77341573752,41.55045712839671,24.607764550545486,233.80371527177817
1,2018-01-02,1877.7565448416324,34.70484712186475,23.800190317016632,228.10412868358554
2,2018-01-03,2010.3346412396784,35.92430517688508,21.272691106664755,240.15320269167702
3,2018-01-04,1973.5542050891986,37.70382689625768,23.369879136680833,235.28026159335272
4,2018-01-05,2142.131189574696,41.4857258598955,25.06133422779317,248.52470224829702
5,2018-01-06,1972.4637991518402,40.45485123624094,24.756252550030798,234.14624543592757
6,2018-01-07,1911.7901194452775,37.77074491365573,21.69720581048944,226.78920060299492
7,2018-01-08,1732.311770961126,35.67028031777118,21.3882316001464,198.59149188712064
8,2018-01-09,1913.6666864622916,35.01810782106019,23.416394706552346,237.16367778358543
9,2018-01-10,1776.4125868383219,31.52877787895305,22.005314625608065,238.6842231792755
10,2018-01-11,1940.285780946783,38.88821317963894,25.04248574430737,234.54569938038895
11,2018-01-12,1992.0280768071805,38.74488639185389,24.939375949252803,242.3602302922429
12,2018-01-13,2097.7078335646943,42.14839891030202,25.300054938455116,219.95237459773927
13,2018-01-14,1991.732985850257,41.603159446807375,25.45589858366242,235.88429824585376
14,2018-01-15,1826.5988746643643,33.47999519775003,23.088846885285157,229.69893057863635
15,2018-01-16,1992.9682169313007,42.61001082362135,25.893742014852087,234.0291339007852
16,2018-01-17,1921.6474938697304,38.52185534661418,23.74648650438584,219.55046574748798
17,2018-01-18,2112.7928687632007,41.817348599137716,24.613033565641917,233.00919501427012
18,2018-01-19,1998.9483972987643,40.773230256135534,25.05162210466002,242.09754994603242
19,2018-01-20,1778.468400220109,29.26271980893253,23.034178089016528,240.51718391138402
20,2018-01-21,2050.31000220319,40.63284132869611,24.83806166926387,242.0447050632121
21,2018-01-22,2264.7995191089767,44.312111173295534,24.35677742199149,237.16751831695578
22,2018-01-23,2007.4187161394061,36.38532887954304,23.44909379225291,235.51386149475272
23,2018-01-24,1577.5470423246045,30.16864547035575,20.77871807293461,181.66927603154622
24,2018-01-25,1725.280292989401,34.00653467319267,24.711145938819964,206.9951434196882
25,2018-01-26,1675.155910939051,28.65959416178648,21.077102075111316,215.9023284051614
26,2018-01-27,1795.9403861265182,32.783964980043955,21.43919650340988,222.92072219100427
27,2018-01-28,2095.197823706291,40.669187583901014,24.196220181327963,227.41907211821263
28,2018-01-29,2016.4726878407757,41.44971312725914,25.072001217140542,232.18670274748635
29,2018-01-30,1897.8934932068546,37.21878381562782,23.791803420301914,228.59660607815985
30,2018-01-31,2056.0778318465136,40.22475879046676,24.23406610301801,254.2320876480243
31,2018-02-01,1864.604698398506,33.99943257182352,24.040312323604994,235.44380081762637
32,2018-02-02,1766.7075732115452,33.604261943400445,21.473180282603092,220.27829986636834
33,2018-02-03,1549.7858665874903,27.83452668100097,21.66591386413711,192.98272522350203
34,2018-02-04,1550.0916359139624,31.422406461603067,21.035820443783884,145.22269966579552
35,2018-02-05,1140.9274640026279,25.135510752834083,18.859049114281923,111.95354817129159
36,2018-02-06,1186.6869816162405,25.964089391914012,18.970683542673132,116.38818468101455
37,2018-02-07,1367.0689944018754,28.164590743371377,19.709772869157856,122.80618832645423
38,2018-02-08,1774.8349445926956,30.30730625659036,21.786662854622445,225.32819959848695
39,2018-02-09,1922.7259678696169,34.67295970745491,23.78884996544408,235.9010850033399
40,2018-02-10,2037.507863289006,39.93155674448962,24.06099209377559,233.81827605751698
41,2018-02-11,1304.7683198789025,27.917688210476758,20.655844334573825,163.70826965792745
42,2018-02-12,1181.3280953687195,23.58990472626971,16.863082518727687,119.87764746645836
43,2018-02-13,1237.0668023381666,24.902763768351296,18.539585911405787,114.96912579322814
44,2018-02-14,890.2693939567548,18.47575199339249,17.30740954575324,85.61698239608452
45,2018-02-15,889.2893782364885,19.06802014623129,17.80104107299222,81.24101522194466
46,2018-02-16,1244.6421481821023,26.735568480003817,19.455405753021825,124.18005010172698
47,2018-02-17,1236.050335732727,24.798162840903714,19.722618938186304,138.8255282188895
48,2018-02-18,1600.4354028271744,27.68996578083673,20.72245246008803,188.49789649857183
49,2018-02-19,1864.740704948508,32.908729634987424,22.035466240215325,227.9156075073883
50,2018-02-20,1997.0343604249676,36.85864813557211,23.742418246646253,236.9067070026047
51,2018-02-21,2043.613275181394,41.47350458619034,24.412224687327853,231.35431737186454
52,2018-02-22,1936.713040725988,33.23278677866154,22.848424164960324,229.20630616176146
53,2018-02-23,1835.1580139487862,30.87752055255193,22.95006501111251,215.94124287727325
54,2018-02-24,1410.6006435061804,31.244705388577337,20.17491867792773,167.5484196327939
55,2018-02-25,1131.915067137716,22.910319052751806,18.820644300904156,109.73145263072425
56,2018-02-26,1349.1543841781572,26.781491733615937,17.37424965475921,130.09658431460917
57,2018-02-27,1031.6520806987185,20.50843153511772,18.40293139919239,96.65574507678234
58,2018-02-28,1610.863582300913,29.060491001844007,20.569227821866733,199.80621596132124
59,2018-03-01,1478.734422807879,30.200879918650582,20.370360251418685,179.1761682651959
60,2018-03-02,1346.7332722239764,30.589436756575445,20.211941967065602,167.58450337040733
61,2018-03-03,863.0876521987194,18.125854557613582,17.81886619721782,80.92883143906458
62,2018-03-04,887.9574739383693,17.727218597845393,17.457906714536115,82.03326636836375
63,2018-03-05,895.881127767954,18.794907706930612,18.619297004575643,91.20527537177362
64,2018-03-06,848.5062577153631,18.44465596165046,17.370375915230202,76.8906271956617
65,2018-03-07,1007.6122570296872,20.381504878180493,18.708817006406836,93.62048287356696
