,date,CO_openweather,NO2_openweather,SO2_openweather,PM2.5_openweather
0,2018-01-01,1195.074277045698,20.481726746168835,14.419255676393943,199.05805037272495
1,2018-01-02,1166.5752069217892,22.232814160559737,14.813253354664798,191.9461061019533
2,2018-01-03,1201.138120007068,22.642214977116964,14.854774230417732,197.0649743780027
3,2018-01-04,1240.765675472061,23.31446398210692,15.125768035881896,204.88353023898887
4,2018-01-05,1263.671813239864,23.601971367706774,14.952047128986548,211.55587940514704
5,2018-01-06,1275.9815491345212,26.640104751207133,15.96879593621436,207.51318147651827
6,2018-01-07,1293.278557650372,24.492854660288444,15.848427538860173,211.40352257950374
7,2018-01-08,1261.6636511220122,24.458687232195583,14.972040525124864,201.0358586692858
8,2018-01-09,1238.4107755445561,23.188459618529826,14.871920389533525,212.27672348501164
9,2018-01-10,1223.3614573815494,23.156989309436725,14.587383550899265,202.41093551004357
10,2018-01-11,1184.719029696465,23.491754838939215,15.298510939525356,198.10206627989882
11,2018-01-12,1234.863747066452,23.10385007810148,14.588404060377625,203.2074447294481
12,2018-01-13,1239.8268659185137,23.196733990308015,14.904738462968218,207.46708926525596
13,2018-01-14,1281.4092714778863,26.09836545947125,16.207223994002202,202.45178855253414
14,2018-01-15,1307.8328244264917,26.78623854985862,15.988553967646297,203.1089283101595
15,2018-01-16,1177.1857932346973,22.7577153628803,14.73926163969866,195.13345882633178
16,2018-01-17,1188.5375570182214,22.471973361954078,14.681126491666708,192.7875897897768
17,2018-01-18,1214.7014027963885,23.051098816223423,14.977922653811772,198.97691311166662
18,2018-01-19,1293.1732410763998,24.75027466328697,15.595879434502576,203.93246063733878
19,2018-01-20,1144.591877302054,24.479436207776033,15.047239268682924,172.7592485258553
20,2018-01-21,1279.2450441284523,24.322649158986955,14.711077960754283,202.50717320082805
21,2018-01-22,1244.0848340684013,26.828999811802955,15.847185819569255,199.36334098557677
22,2018-01-23,1207.4168739017077,23.19488901678192,14.67611999219117,204.06132211188245
23,2018-01-24,1114.7839057628194,20.504915893256584,14.400809485505093,159.03070615610986
24,2018-01-25,1161.072660406102,20.83891409745779,14.636774753712498,188.9691685298516
25,2018-01-26,1182.0382067512246,22.225161266425868,14.406160702712468,193.67191177339865
26,2018-01-27,1172.024044523769,21.718896415516355,14.72459080254082,196.77046322731982
27,2018-01-28,1141.9165420064737,22.81826914519577,14.934581474550434,191.93089036416885
28,2018-01-29,1176.0364558938113,23.814500924694425,14.83974133527694,200.2931812288736
29,2018-01-30,1084.7202690664988,20.749043458248675,14.512031329583884,154.43600144090658
30,2018-01-31,1071.9191437984769,19.80562258084502,14.229749575333122,154.44233972200902
31,2018-02-01,1092.1490332658452,20.90757343196451,14.433995262316982,156.93019521014722
32,2018-02-02,1173.303195046635,22.728294939258824,14.605235277965763,173.5276738019595
33,2018-02-03,1233.6782922977563,24.201535417104242,14.792099423235413,191.3232322596026
34,2018-02-04,1082.8777750162083,20.671929392570608,14.145749749326015,158.22456577099695
35,2018-02-05,1144.8605793902757,20.646504018349805,14.455864069732536,164.81947500579147
36,2018-02-06,1105.5825128256558,19.975503081471707,14.294072845675032,165.02574820328468
37,2018-02-07,1099.485970245899,21.032196985671806,14.567810997916018,139.89480955556527
38,2018-02-08,1135.5896275983928,21.335107574600613,14.618356400461089,151.25592260091335
39,2018-02-09,1129.8272786550797,21.541371604573754,14.678611755252234,142.57602810564057
40,2018-02-10,1113.568080720241,21.661148153766682,14.90136315771133,154.63519704147066
41,2018-02-11,1171.3162317668346,23.913657202273757,14.37254710619045,173.39628420164405
42,2018-02-12,1058.6215412514146,19.3743021211935,14.172339876937965,135.25121857255445
43,2018-02-13,1125.55960742186,19.392549426621414,14.610133121904425,154.91948361939336
44,2018-02-14,832.9573824620242,13.977595162806619,11.88516614199436,96.54613685166447
45,2018-02-15,1082.902329093314,19.93952553005829,14.240029797227495,153.99900364069046
46,2018-02-16,1114.6183407888634,19.57159754089621,14.24906954576615,169.2994811719391
47,2018-02-17,1197.2470564677744,22.33924592389151,14.368619156263069,184.59427432512518
48,2018-02-18,1169.9730364253342,22.348314113413373,14.103518591916911,188.46455650903278
49,2018-02-19,1168.3785219448955,22.326314560595158,14.484117375116746,179.8880431365398
50,2018-02-20,1433.8886292875984,27.615917340470315,17.764864000942918,211.64091318748143
51,2018-02-21,1382.1442134847814,29.3373911722822,18.027809811523433,205.41288845555056
52,2018-02-22,1414.5379162630497,28.198829821781967,16.61071364312973,185.9946663174152
53,2018-02-23,1383.0852061159862,27.373220419323612,16.556089342587324,202.6205772015726
54,2018-02-24,1226.6370130618047,23.523458288820745,14.466468616563127,197.38641386766932
55,2018-02-25,1167.3509385225077,20.426417285131283,14.548387294368446,171.87948350294323
56,2018-02-26,1068.6372876216954,18.860763078213054,12.31745052854664,123.69501908049553
57,2018-02-27,897.7174904870219,16.25229083309313,14.459342797942572,106.31309575251505
58,2018-02-28,1091.890377596689,20.250352763738228,14.608626223355522,126.5998945324106
59,2018-03-01,1104.0476078308307,21.272208418805626,14.515480307938066,129.7526359164254
60,2018-03-02,1107.0056612210842,19.35168369036092,14.532973503076105,158.60672472499922
61,2018-03-03,1114.3091173659218,19.577653557791404,14.743995846457487,127.2158196525773
62,2018-03-04,1100.537106412679,20.353175229421197,14.496126007995088,129.71943200492643
63,2018-03-05,1149.2609457662513,20.0555887362894,14.646621100538637,130.6679118942681
64,2018-03-06,1063.4271299983009,18.83378976686106,12.174138364759667,124.62546448038553
65,2018-03-07,1026.4882210412031,18.15679533483263,14.743911603068359,115.80058278617115
