,date,CO_openweather,NO2_openweather,SO2_openweather,PM2.5_openweather
0,2018-01-01,935.0062744501749,24.042360009564803,24.309087003574227,94.76885465704301
1,2018-01-02,1125.1091401161582,26.80831489133523,23.19652920050355,126.29623396677206
2,2018-01-03,1271.706283825663,31.442641306576284,26.4366040421685,134.35087095896074
3,2018-01-04,1497.3258182043335,37.4494528603211,31.602779234711743,162.78494912904927
4,2018-01-05,1352.1016789593443,34.80635075645455,31.504250665547264,141.47450093319847
5,2018-01-06,1445.7271684994867,34.46380765844209,31.786814516654267,144.5939975373259
6,2018-01-07,1375.6588017512288,33.030054130649624,28.316312948168925,135.65754524638518
7,2018-01-08,1363.3174854975525,34.702929875469216,32.52421442306332,133.81732339783
8,2018-01-09,1259.6253695734204,30.779143439765615,27.138112875958964,112.45926283892588
9,2018-01-10,1286.8921736526854,30.939949868693915,26.890591582388016,130.14389925521797
10,2018-01-11,1471.7030512831293,38.26504453539405,32.96155192239945,141.69343326026973
11,2018-01-12,1450.7980973212125,37.22761217239496,31.31754897117137,145.99586366676186
12,2018-01-13,1401.4927089681044,37.0252610333428,32.109882314874724,143.14675356993808
13,2018-01-14,1448.197655391182,37.459376630566126,33.11111031020869,147.8090221696448
14,2018-01-15,979.3352103578508,24.814396633549205,22.71575397233421,123.31531278225197
15,2018-01-16,1144.686193118706,27.353556107799644,23.375649991039108,133.27699174517872
16,2018-01-17,1111.5766555180799,26.78352239762235,26.354704218400915,130.73648267456807
17,2018-01-18,1401.396978386784,35.509699598994345,32.997369651559524,113.46221570833599
18,2018-01-19,1370.8598872746347,35.29560545931754,32.3197946768591,128.6862304273528
19,2018-01-20,1424.987706761042,35.37799708866504,31.7778778741906,134.1874972140178
20,2018-01-21,1355.8891653224387,34.772143770688125,33.03342066640505,139.13036721694687
21,2018-01-22,1315.7626762704624,32.574971272644106,27.525131573746453,133.3325998465638
22,2018-01-23,1303.560309601831,33.00665090213895,27.60776919886814,137.33214926549738
23,2018-01-24,1249.9714994893898,30.242270976485333,26.569736220275935,125.36463827280438
24,2018-01-25,1251.8496596448165,30.647403017318894,27.490446453610357,102.67375020913043
25,2018-01-26,1041.3859425058859,26.00424257792504,25.593779960316418,94.54041286404282
26,2018-01-27,1041.5642844434897,26.216768769469727,23.80365677709312,106.2598334903602
27,2018-01-28,1094.9608236884474,26.643164170480578,24.737240526952785,124.78953567278053
28,2018-01-29,1293.0601769422851,32.79261594710446,30.21866043112357,120.31230201237133
29,2018-01-30,1331.8777035753437,34.131272933380345,32.894514461590035,130.67587306998615
30,2018-01-31,1333.1156512174502,34.078142515560096,32.237744957632565,128.36896831769252
31,2018-02-01,1342.3760635902381,33.77926506831706,30.190393924099553,111.16573788921414
32,2018-02-02,1362.0755166973684,33.34643828643585,30.333679294871423,138.2184914236087
33,2018-02-03,1445.4276675156998,36.434826632622205,32.50515115198723,140.82761724284356
34,2018-02-04,1385.415615499857,35.05842266616203,33.21769384721044,137.21542356182889
35,2018-02-05,1309.466230417922,34.43268019062193,31.56871451347539,113.0540962663236
36,2018-02-06,1363.450633549314,35.09136421246007,32.0547705331324,123.63471655882456
37,2018-02-07,1384.5670335701614,35.57096599560758,32.751300574339574,110.24241663805267
38,2018-02-08,1298.6856051053387,33.67647474814136,30.446937369430895,107.74923969070001
39,2018-02-09,1385.8480009925281,34.93260571404128,32.87383138340363,121.7283994070699
40,2018-02-10,1285.8604291433137,30.968775499427515,28.216142161210083,111.74651887107296
41,2018-02-11,1000.8979750099538,27.03322329118087,32.118614552671026,110.87396976701132
42,2018-02-12,977.6720692307498,21.029962725119606,18.02304329131963,109.63378925487318
43,2018-02-13,906.6336739379501,20.671345598973293,19.95389342277469,107.87250520673139
44,2018-02-14,987.7358496256271,22.6638713633892,21.06580666304117,105.08653440601628
45,2018-02-15,1096.3543976320664,24.710533570657827,23.083720711770674,108.47823201064556
46,2018-02-16,1096.1030298023572,25.95313980004283,26.00407012127901,113.66317510305527
47,2018-02-17,1088.1767801871968,24.512995453564837,24.39540146749033,110.6891101584603
48,2018-02-18,1313.1177558813456,31.963456250229033,28.60028874621273,116.20584349784303
49,2018-02-19,1028.3650787736617,24.939252028991824,25.30372309835755,111.29082529849856
50,2018-02-20,1035.8096636064774,24.928184677827694,23.183953105662287,113.1135566371461
51,2018-02-21,1339.5855732393622,33.52657637947466,30.926995290979136,117.24087648559299
52,2018-02-22,1345.0036859179256,33.31631647660561,29.87485937097808,134.36921170846426
53,2018-02-23,1438.3999615454597,33.946006120328406,30.802740155853236,129.01496297691332
54,2018-02-24,1509.8463828945373,39.07963080679737,31.89513721582398,161.93745963777457
55,2018-02-25,1320.693096228134,34.456954077698825,32.30512006756374,116.85702075477951
56,2018-02-26,1317.092970644048,34.49056952535579,31.904712219550408,103.5798509015954
57,2018-02-27,1050.446589995459,25.84151846698179,26.156282684958423,108.54680018649321
58,2018-02-28,1341.073683268934,34.733764049330624,32.611764014590754,123.91733637048236
59,2018-03-01,1431.1749957423253,37.47138312140969,33.56397816179276,149.68617560846246
60,2018-03-02,1376.8166732990323,33.7366673754382,31.787451493430613,115.40067507982117
61,2018-03-03,1310.7269146854771,32.839938110884894,29.985364361508957,112.98882668574254
62,2018-03-04,1067.4612462745695,26.754606922375398,26.26440861542095,98.35927735080182
63,2018-03-05,1322.2971242755448,31.814243812286175,28.391263354846267,117.78645032030397
64,2018-03-06,979.6884723583888,25.374637546872815,25.80785043698837,100.92486362878006
65,2018-03-07,1021.2475779472384,25.878962355237064,26.370812150758812,100.539519036947
